time,can1_AB_Gurtschloss_Reihe2_BF [],can1_AB_Gurtschloss_FA [],can1_AB_Gurtschloss_BF [],can1_AB_Gurtschloss_Reihe2_FA [],can1_AB_Gurtschloss_Reihe2_MI []
34.20738220214844,3,3,3,2,2
34.40713906288147,3,3,3,2,2
34.607759952545166,3,3,3,2,2
34.80701017379761,3,3,3,2,2
35.00739097595215,3,3,3,2,2
35.20763397216797,3,3,3,2,2
35.40664505958557,3,3,3,2,2
35.60663986206055,3,3,3,2,2
35.806883811950684,3,3,3,2,2
36.00664496421814,3,3,3,2,2
36.208757162094116,3,3,3,2,2
36.40875816345215,3,3,3,2,2
36.60875916481018,3,3,3,2,2
36.80762600898743,3,3,3,2,2
37.00763201713562,3,3,3,2,2
37.20837903022766,3,3,3,2,2
37.4076361656189,3,3,3,2,2
37.607885122299194,3,3,3,2,2
37.807884216308594,3,3,3,2,2
38.00775623321533,3,3,3,2,2
38.20864009857178,3,3,3,2,2
38.40789008140564,3,3,3,2,2
38.607768058776855,3,3,3,2,2
38.80764603614807,3,3,3,2,2
39.00777292251587,3,3,3,2,2
39.208882093429565,3,3,3,2,2
39.40763020515442,3,3,3,2,2
39.60863494873047,3,3,3,2,2
39.8077609539032,3,3,3,2,2
40.00863599777222,3,3,3,2,2
40.20888924598694,3,3,3,2,2
40.408632040023804,3,3,3,2,2
40.60863018035889,3,3,3,2,2
40.80876302719116,3,3,3,2,2
41.00887894630432,3,3,3,2,2
41.209877014160156,3,3,3,2,2
41.4088819026947,3,3,3,2,2
41.60863709449768,3,3,3,2,2
41.80863308906555,3,3,3,2,2
42.008882999420166,3,3,3,2,2
42.20900106430054,3,3,3,2,2
42.408761978149414,3,3,3,2,2
42.60863494873047,3,3,3,2,2
42.80864119529724,3,3,3,2,2
43.00863218307495,3,3,3,2,2
43.20975112915039,3,3,3,2,2
43.408759117126465,3,3,3,2,2
43.608755111694336,3,3,3,2,2
43.809635162353516,3,3,3,2,2
44.00863003730774,3,3,3,2,2
44.20975112915039,3,3,3,2,2
44.40912699699402,3,3,3,2,2
44.60900688171387,3,3,3,2,2
44.80912804603577,3,3,3,2,2
45.00975012779236,3,3,3,2,2
45.21013402938843,3,3,3,2,2
45.40988087654114,3,3,3,2,2
45.6096248626709,3,3,3,2,2
45.80999994277954,3,3,3,2,2
46.00987911224365,3,3,3,2,2
46.2108850479126,3,3,3,2,2
46.40962791442871,3,3,3,2,2
46.60962796211243,3,3,3,2,2
46.8096342086792,3,3,3,2,2
47.009886026382446,3,3,3,2,2
47.2107470035553,3,3,3,2,2
47.40986704826355,3,3,3,2,2
47.609760999679565,3,3,3,2,2
47.80988025665283,3,3,3,2,2
48.00962996482849,3,3,3,2,2
48.21126317977905,3,3,3,2,2
48.40975284576416,3,3,3,2,2
48.61038398742676,3,3,3,2,2
48.81049990653992,3,3,3,2,2
49.010128021240234,3,3,3,2,2
49.21154499053955,3,3,3,2,2
49.410516023635864,3,3,3,2,2
49.61037611961365,3,3,3,2,2
49.810387134552,3,3,3,2,2
50.01041603088379,3,3,3,2,2
50.211382150650024,3,3,3,2,2
50.41100192070007,3,3,3,2,2
50.6108820438385,3,3,3,2,2
50.81088304519653,3,3,3,2,2
51.01100301742554,3,3,3,2,2
51.21125888824463,3,3,3,2,2
51.41087794303894,3,3,3,2,2
51.6108820438385,3,3,3,2,2
51.81075692176819,3,3,3,2,2
52.01075005531311,3,3,3,2,2
52.21187901496887,3,3,3,2,2
52.41080927848816,3,3,3,2,2
52.61076307296753,3,3,3,2,2
52.810877084732056,3,3,3,2,2
53.01087808609009,3,3,3,2,2
53.21212601661682,3,3,3,2,2
53.411011934280396,3,3,3,2,2
53.611016035079956,3,3,3,2,2
53.81112313270569,3,3,3,2,2
54.011006116867065,3,3,3,2,2
54.21213388442993,3,3,3,2,2
54.41113615036011,3,3,3,2,2
54.61125302314758,3,3,3,2,2
54.811254024505615,3,3,3,2,2
55.011253118515015,3,3,3,2,2
55.212409257888794,3,3,3,2,2
55.41138219833374,3,3,3,2,2
