time,can0_MO_Drehzahl_01 [Unit_MinutInver]
128.88613510131836,1695.0
128.895898103714,1696.5
128.90688586235046,1698.0
128.91801023483276,1701.5
128.9259431362152,1705.5
128.9361650943756,1709.5
128.94587802886963,1711.5
128.95601105690002,1715.0
128.9671380519867,1716.5
128.9759349822998,1718.0
128.98689699172974,1720.5
128.9958851337433,1724.0
129.0059359073639,1727.0
129.01701092720032,1729.5
129.02626013755798,1734.5
129.0372531414032,1734.0
129.0468990802765,1735.0
129.05701088905334,1739.0
129.06606006622314,1743.0
129.07592010498047,1746.0
129.08591103553772,1748.0
129.09618401527405,1752.5
129.10689210891724,1755.0
129.11702704429626,1757.0
129.12588214874268,1760.0
129.13604402542114,1764.0
129.14593625068665,1765.5
129.15689396858215,1767.5
129.16800808906555,1771.0
129.17593908309937,1773.0
129.18591499328613,1775.5
129.1959309577942,1778.0
129.20594000816345,1780.5
129.21801090240479,1782.5
129.22701382637024,1786.0
129.23643898963928,1788.0
129.24592423439026,1789.5
129.25688290596008,1793.0
129.26701021194458,1798.5
129.27688193321228,1801.0
129.2859389781952,1802.0
129.29601097106934,1806.5
129.30701208114624,1808.0
129.317143201828,1808.5
129.32689905166626,1812.0
129.3360471725464,1816.0
129.34593629837036,1818.0
129.35689306259155,1818.5
129.36701321601868,1823.0
129.3759400844574,1825.0
129.3861382007599,1827.5
129.39593505859375,1831.5
129.4068832397461,1836.0
129.41708111763,1838.5
129.4261770248413,1842.5
129.43664002418518,1845.5
129.44592595100403,1848.0
129.457013130188,1851.0
129.467511177063,1855.0
129.47594022750854,1858.0
129.48593521118164,1860.0
129.497132062912,1863.5
129.50593304634094,1863.5
129.51700711250305,1866.0
129.5258870124817,1869.5
129.53700518608093,1872.0
129.5459189414978,1873.5
129.5559229850769,1877.5
129.5670120716095,1878.5
129.57701206207275,1879.0
129.58592319488525,1881.5
129.59593391418457,1886.0
129.60591793060303,1888.5
129.61714100837708,1891.0
129.62600207328796,1894.0
129.6359190940857,1895.5
129.64701795578003,1898.5
129.6566390991211,1902.5
129.66676902770996,1905.5
129.67701411247253,1907.0
129.68664288520813,1911.0
129.69739294052124,1911.5
129.70593309402466,1914.0
129.71717500686646,1917.5
129.72689199447632,1919.0
129.73588299751282,1919.0
129.74591422080994,1923.5
129.7580051422119,1924.5
129.7671492099762,1925.0
129.77588415145874,1928.5
129.7868869304657,1933.5
129.79700994491577,1935.5
129.8059310913086,1938.0
129.8171420097351,1939.0
129.8271369934082,1939.0
129.83616995811462,1942.0
129.84588289260864,1946.0
129.85591506958008,1949.0
129.867516040802,1951.5
129.87700009346008,1953.0
129.8858802318573,1954.5
129.89737820625305,1958.0
129.9058871269226,1961.0
129.9171440601349,1964.0
129.92690300941467,1967.5
129.9363820552826,1971.0
129.94591999053955,1972.0
129.9570062160492,1976.0
129.96713495254517,1980.5
129.97592496871948,1981.5
129.98701810836792,1984.0
129.99701309204102,1987.5
130.00688695907593,1988.0
130.01713299751282,1991.0
130.0272560119629,1994.5
130.03652906417847,1996.0
130.04701805114746,1998.5
130.05688095092773,2002.5
130.06651401519775,2004.0
130.0770070552826,2007.5
130.0870110988617,2011.5
130.09612703323364,2016.0
130.10688996315002,2020.5
130.1172969341278,2026.5
130.12593412399292,2031.5
130.1363809108734,2037.0
130.14701914787292,2043.0
130.15701413154602,2046.0
130.16714119911194,2051.0
130.17626404762268,2054.0
130.18639492988586,2055.5
130.19700813293457,2058.0
130.207013130188,2058.5
130.21702003479004,2058.0
130.22713494300842,2060.0
130.23613691329956,2059.5
130.2470350265503,2059.0
130.25601506233215,2061.0
130.26750111579895,2062.0
130.2766468524933,2063.5
130.28639602661133,2066.0
130.29688000679016,2067.5
130.3070149421692,2069.5
130.31726002693176,2072.5
130.32688522338867,2075.5
130.33579182624817,2080.0
130.34700918197632,2084.0
130.3572642803192,2086.5
130.3668990135193,2090.5
130.37626004219055,2096.0
130.3862600326538,2097.5
130.3970251083374,2100.0
130.4070131778717,2104.0
130.41701197624207,2104.0
130.4271502494812,2106.5
130.43626499176025,2109.0
130.44614005088806,2109.0
130.45701622962952,2111.0
130.4676742553711,2113.5
130.47701501846313,2113.5
130.4859230518341,2114.5
130.49701809883118,2117.5
130.50603914260864,2118.5
130.51725220680237,2122.0
130.5268852710724,2124.0
130.5363268852234,2126.5
130.54751205444336,2130.0
130.55595111846924,2131.5
130.5672640800476,2134.0
130.57605814933777,2138.0
130.5860631465912,2139.0
130.59701108932495,2143.0
130.6062662601471,2146.5
130.61726117134094,2147.5
130.62614512443542,2151.0
130.6370141506195,2152.5
130.64591693878174,2153.0
130.65576100349426,2157.0
130.6675100326538,2159.5
130.6770100593567,2160.5
130.68738508224487,2164.0
130.69605994224548,2165.5
130.70688605308533,2166.5
130.71730303764343,2168.5
130.72589111328125,2170.0
130.73628401756287,2172.5
130.74701595306396,2174.5
130.75701093673706,2176.5
130.7674171924591,2178.5
130.77701091766357,2181.5
130.78591418266296,2183.5
130.7970108985901,2188.0
130.8060600757599,2189.0
130.81739807128906,2191.0
130.82625794410706,2192.5
130.8367621898651,2192.0
130.84592199325562,2193.5
130.8560290336609,2195.5
130.86651015281677,2195.0
130.87604212760925,2196.0
130.88701224327087,2196.5
130.8960099220276,2196.0
130.90701484680176,2198.0
130.9174280166626,2198.5
130.92702317237854,2199.0
130.936772108078,2199.0
130.94701504707336,2199.0
130.9560079574585,2201.0
130.96639204025269,2200.5
130.97601890563965,2201.0
130.98598408699036,2202.5
130.99702095985413,2203.0
131.006019115448,2202.5
131.01639103889465,2205.0
131.0260570049286,2203.0
131.0370180606842,2204.0
131.0458960533142,2205.0
131.05702924728394,2205.0
131.06651902198792,2203.5
131.07701110839844,2202.0
131.08600902557373,2201.5
131.0970151424408,2199.0
131.10602807998657,2189.5
131.11639404296875,2181.0
131.12602400779724,2172.5
131.13581895828247,2164.5
131.1471118927002,2158.5
131.1569221019745,2151.5
131.16751313209534,2143.5
131.17591500282288,2138.5
131.185889005661,2132.5
131.1960141658783,2124.5
131.2066502571106,2117.0
131.21755290031433,2109.0
131.22612714767456,2106.5
131.23702001571655,2099.0
131.2458848953247,2085.5
131.25606513023376,2076.0
131.2666208744049,2063.5
131.27601099014282,2051.0
131.28606009483337,2041.0
131.2970151901245,2029.0
131.30601024627686,2019.5
131.3166379928589,2010.5
131.32701802253723,1999.5
131.33575916290283,1990.5
131.34601402282715,1981.0
131.3570098876953,1968.5
131.36651706695557,1956.5
131.37600898742676,1947.0
131.3872630596161,1937.0
131.39605903625488,1926.5
131.4060401916504,1916.0
131.41652822494507,1906.0
131.42713499069214,1894.5
131.43604516983032,1884.5
131.44605898857117,1874.5
131.45607805252075,1865.0
131.4665129184723,1853.5
131.47605991363525,1843.5
131.4858889579773,1833.0
131.49626111984253,1822.5
131.5060579776764,1813.5
131.51750922203064,1804.0
131.52590703964233,1794.0
131.53593611717224,1785.0
131.5460181236267,1775.0
131.55600214004517,1763.5
131.5665202140808,1752.5
131.57701301574707,1742.5
131.5860149860382,1733.5
131.59606099128723,1723.0
131.60700917243958,1713.5
131.61701202392578,1704.5
131.62626004219055,1694.0
131.6370129585266,1683.5
131.64705896377563,1673.5
131.65602207183838,1665.0
131.6665222644806,1655.0
131.67601108551025,1646.0
131.6866409778595,1636.5
131.6960470676422,1626.5
131.70606803894043,1616.5
131.71651411056519,1607.0
131.72605895996094,1597.5
131.73663592338562,1588.0
131.74588704109192,1577.5
131.75601887702942,1568.0
131.76691889762878,1559.0
131.77701616287231,1549.0
131.787015914917,1540.5
131.79728198051453,1532.0
131.8070158958435,1522.0
131.81700205802917,1512.5
131.82725620269775,1502.5
131.83713626861572,1494.0
131.8470160961151,1484.5
131.85701823234558,1474.5
131.8665862083435,1465.0
131.87607407569885,1457.0
131.88613414764404,1448.0
131.89589309692383,1438.0
131.90606689453125,1427.5
131.91713404655457,1419.0
131.92601013183594,1410.5
131.9366340637207,1401.5
131.94600701332092,1391.5
131.95605611801147,1383.0
131.96664905548096,1374.0
131.97600507736206,1365.0
131.9860200881958,1355.5
131.99700713157654,1347.0
132.00701999664307,1338.0
132.01605987548828,1328.5
132.02613615989685,1319.5
132.03600001335144,1309.5
132.0460000038147,1301.0
132.05601000785828,1292.0
132.06665086746216,1282.5
132.07701992988586,1273.5
132.08638501167297,1263.5
