time,can0_ESP_Querbeschleunigung [Unit_ForceOfGravi],can0_ESP_Laengsbeschl [Unit_MeterPerSeconSquar],can0_ESP_Gierrate [Unit_DegreOfArcPerSecon],can0_ESP_VZ_Gierrate []
21.140873908996582,0.040000000000000036,3.03125,2.49,0
21.16066884994507,0.040000000000000036,3.03125,2.43,0
21.18101406097412,0.050000000000000044,3.03125,2.46,0
21.20088768005371,0.040000000000000036,3.03125,2.43,0
21.220879793167114,0.030000000000000027,3.03125,2.36,0
21.24077081680298,0.030000000000000027,3.03125,2.4,0
21.261499881744385,0.030000000000000027,3.03125,2.33,0
21.281011819839478,0.020000000000000018,3.03125,2.23,0
21.301134824752808,0.020000000000000018,3.03125,2.17,0
21.320260763168335,0.030000000000000027,3.03125,2.13,0
21.340140104293823,0.030000000000000027,3.03125,2.13,0
21.361506700515747,0.020000000000000018,3.03125,2.09,0
21.380920886993408,0.010000000000000009,3.03125,1.93,0
21.4006609916687,0.010000000000000009,3.03125,1.78,0
21.420684099197388,0.010000000000000009,3.03125,1.62,0
21.441229820251465,0.010000000000000009,3.03125,1.45,0
21.461500883102417,0.0,3.03125,1.31,0
21.481250762939453,0.0,3.03125,1.17,0
21.500886917114258,0.0,3.125,1.22,0
21.520513772964478,0.0,3.125,1.2,0
21.540817975997925,0.0,3.125,1.23,0
21.561502933502197,0.0,3.125,1.29,0
21.580386877059937,0.010000000000000009,3.125,1.37,0
21.601130962371826,0.020000000000000018,3.125,1.46,0
21.62088179588318,0.030000000000000027,3.125,1.47,0
21.640383005142212,0.040000000000000036,3.125,1.55,0
21.660629987716675,0.040000000000000036,3.03125,1.6300000000000001,0
21.680511951446533,0.040000000000000036,3.03125,1.61,0
21.701507806777954,0.030000000000000027,3.03125,1.53,0
21.720796823501587,0.020000000000000018,3.125,1.48,0
21.74029803276062,0.020000000000000018,3.125,1.57,0
21.761502981185913,0.010000000000000009,3.125,1.71,0
21.78054976463318,0.020000000000000018,3.125,1.95,0
21.801256895065308,0.010000000000000009,3.21875,2.14,0
21.82038688659668,0.020000000000000018,3.21875,2.2800000000000002,0
21.840266942977905,0.020000000000000018,3.3125,2.31,0
21.860503673553467,0.030000000000000027,3.3125,2.23,0
21.880390882492065,0.020000000000000018,3.21875,2.25,0
21.901257038116455,0.020000000000000018,3.21875,2.16,0
21.920883893966675,0.010000000000000009,3.21875,2.0,0
21.94051194190979,0.010000000000000009,3.21875,1.86,0
21.960636854171753,0.020000000000000018,3.125,1.81,0
21.980507850646973,0.020000000000000018,3.125,1.82,0
22.000877857208252,0.020000000000000018,3.125,1.83,0
22.02087688446045,0.020000000000000018,3.125,1.74,0
22.040256023406982,0.020000000000000018,3.125,1.6,0
22.060544967651367,0.030000000000000027,3.03125,1.6400000000000001,0
22.080766916275024,0.040000000000000036,3.125,1.79,0
22.101378679275513,0.030000000000000027,3.125,1.86,0
22.120932817459106,0.010000000000000009,3.125,1.81,0
22.14100980758667,0.010000000000000009,3.03125,1.74,0
22.16013789176941,0.010000000000000009,3.03125,1.77,0
22.180268049240112,0.010000000000000009,3.125,1.82,0
22.200639963150024,0.010000000000000009,3.125,1.9100000000000001,0
22.220292806625366,0.010000000000000009,3.125,1.98,0
22.241001844406128,0.020000000000000018,3.125,2.09,0
22.26031994819641,0.020000000000000018,3.03125,2.04,0
22.28125286102295,0.020000000000000018,3.03125,2.0,0
22.30088186264038,0.020000000000000018,3.03125,1.92,0
22.32025980949402,0.020000000000000018,3.03125,1.86,0
22.340383052825928,0.010000000000000009,3.03125,1.75,0
22.36017680168152,0.020000000000000018,3.03125,1.67,0
22.380255937576294,0.020000000000000018,3.03125,1.55,0
22.400629997253418,0.020000000000000018,3.125,1.6,0
22.420759677886963,0.020000000000000018,3.03125,1.69,0
22.440510988235474,0.010000000000000009,3.03125,1.77,0
22.460500955581665,0.010000000000000009,2.9375,1.69,0
22.480759859085083,0.010000000000000009,2.9375,1.55,0
22.501250743865967,0.010000000000000009,2.9375,1.48,0
22.521122694015503,0.020000000000000018,2.84375,1.49,0
22.540259838104248,0.020000000000000018,2.84375,1.5,0
22.561198711395264,0.020000000000000018,2.71875,1.42,0
22.580692052841187,0.010000000000000009,2.625,1.42,0
22.601161003112793,0.020000000000000018,2.625,1.31,0
22.620433807373047,0.010000000000000009,2.4375,1.27,0
22.64066481590271,0.0,2.34375,1.25,0
22.661502838134766,0.010000000000000009,2.25,1.4000000000000001,0
22.68075704574585,0.010000000000000009,2.25,1.51,0
22.701014041900635,0.010000000000000009,2.03125,1.51,0
22.720914840698242,0.0,1.9375,1.46,0
22.741009950637817,0.010000000000000009,1.75,1.35,0
22.76162886619568,0.020000000000000018,1.65625,1.3800000000000001,0
22.780638933181763,0.020000000000000018,1.46875,1.42,0
22.80125594139099,0.030000000000000027,1.34375,1.51,0
22.820513010025024,0.030000000000000027,1.15625,1.3900000000000001,0
22.841131925582886,0.030000000000000027,0.875,1.28,0
22.86026883125305,0.030000000000000027,0.65625,1.3900000000000001,0
22.881386041641235,0.020000000000000018,0.5625,1.51,0
22.90162491798401,0.020000000000000018,0.375,1.52,0
22.92050266265869,0.020000000000000018,0.28125,1.48,0
22.94068670272827,0.030000000000000027,0.09375,1.56,0
22.96112370491028,0.050000000000000044,0.09375,1.75,0
22.980631828308105,0.040000000000000036,0.0,1.87,0
23.001132011413574,0.040000000000000036,0.0,1.87,0
23.02038288116455,0.030000000000000027,0.0,1.8,0
23.04088592529297,0.030000000000000027,-0.09375,1.6400000000000001,0
23.060247659683228,0.030000000000000027,-0.09375,1.54,0
23.080644845962524,0.030000000000000027,-0.09375,1.59,0
23.100558757781982,0.040000000000000036,-0.09375,1.73,0
23.121129989624023,0.06000000000000005,0.0,1.87,0
23.140259742736816,0.050000000000000044,-0.09375,1.92,0
23.161512851715088,0.040000000000000036,-0.09375,1.8,0
23.180997848510742,0.040000000000000036,-0.1875,1.71,0
23.200658798217773,0.050000000000000044,-0.1875,1.67,0
23.22044277191162,0.06000000000000005,-0.09375,1.74,0
23.240801095962524,0.06000000000000005,-0.09375,1.83,0
23.2604238986969,0.050000000000000044,-0.09375,1.8800000000000001,0
23.281129837036133,0.050000000000000044,-0.09375,1.95,0
23.300269842147827,0.07000000000000006,-0.09375,2.09,0
23.32124972343445,0.08000000000000007,-0.09375,2.27,0
23.340633869171143,0.08000000000000007,-0.09375,2.4,0
23.360259771347046,0.08000000000000007,-0.09375,2.49,0
23.380390882492065,0.08000000000000007,-0.09375,2.67,0
23.401249647140503,0.08000000000000007,-0.09375,2.79,0
23.42076802253723,0.08000000000000007,-0.09375,2.95,0
23.440628051757812,0.08000000000000007,-0.09375,3.04,0
23.46043086051941,0.08000000000000007,-0.09375,3.17,0
23.480756998062134,0.08000000000000007,-0.09375,3.2800000000000002,0
23.50043487548828,0.08000000000000007,-0.09375,3.33,0
23.52026081085205,0.07000000000000006,-0.09375,3.36,0
23.54030179977417,0.08000000000000007,-0.09375,3.3200000000000003,0
23.560295820236206,0.09000000000000008,-0.09375,3.22,0
23.580756902694702,0.10000000000000009,-0.1875,3.12,0
23.601271867752075,0.08000000000000007,-0.1875,3.0700000000000003,0
23.62038564682007,0.07000000000000006,-0.1875,3.06,0
23.64013385772705,0.07000000000000006,-0.09375,2.99,0
23.6612548828125,0.08000000000000007,-0.09375,2.93,0
23.6807918548584,0.09000000000000008,-0.09375,3.0300000000000002,0
23.701257944107056,0.08000000000000007,-0.1875,3.14,0
23.721250772476196,0.09000000000000008,-0.1875,3.23,0
23.740261793136597,0.09000000000000008,-0.1875,3.27,0
23.76113796234131,0.09000000000000008,-0.1875,3.25,0
23.780932903289795,0.10000000000000009,-0.1875,3.21,0
23.80113387107849,0.10000000000000009,-0.1875,3.18,0
23.82088589668274,0.09000000000000008,-0.1875,3.13,0
23.840492725372314,0.07000000000000006,-0.1875,3.11,0
23.861122846603394,0.08000000000000007,-0.1875,3.25,0
23.88137698173523,0.09000000000000008,-0.09375,3.46,0
23.9010329246521,0.09000000000000008,-0.09375,3.59,0
23.920761823654175,0.08000000000000007,-0.09375,3.63,0
23.940430879592896,0.09000000000000008,-0.09375,3.59,0
23.961444854736328,0.10000000000000009,-0.09375,3.61,0
23.9808828830719,0.10000000000000009,-0.09375,3.59,0
24.001006841659546,0.09000000000000008,-0.1875,3.5500000000000003,0
24.02050471305847,0.09000000000000008,-0.1875,3.5,0
24.040267944335938,0.09000000000000008,-0.1875,3.41,0
24.060885906219482,0.09000000000000008,-0.1875,3.41,0
24.0809109210968,0.08000000000000007,-0.09375,3.47,0
24.10100293159485,0.08000000000000007,-0.09375,3.49,0
24.120289087295532,0.08000000000000007,-0.09375,3.5100000000000002,0
24.140378952026367,0.08000000000000007,-0.09375,3.5500000000000003,0
24.160783767700195,0.08000000000000007,-0.09375,3.61,0
24.180686712265015,0.07000000000000006,-0.09375,3.47,0
24.20101284980774,0.08000000000000007,-0.09375,3.37,0
24.220508813858032,0.09000000000000008,-0.09375,3.34,0
24.24125075340271,0.08000000000000007,-0.09375,3.3000000000000003,0
24.260636806488037,0.07000000000000006,-0.1875,3.3000000000000003,0
24.280884981155396,0.07000000000000006,-0.1875,3.2800000000000002,0
24.301259994506836,0.08000000000000007,-0.09375,3.37,0
24.320258855819702,0.09000000000000008,-0.09375,3.44,0
24.340507984161377,0.09000000000000008,-0.09375,3.5300000000000002,0
24.360755920410156,0.09000000000000008,-0.09375,3.5500000000000003,0
24.38145899772644,0.08000000000000007,-0.09375,3.47,0
24.401140928268433,0.07000000000000006,-0.09375,3.43,0
24.4203839302063,0.050000000000000044,-0.1875,3.36,0
24.441252946853638,0.07000000000000006,-0.1875,3.39,0
24.460632801055908,0.10000000000000009,-0.09375,3.46,0
24.481008768081665,0.10000000000000009,-0.09375,3.6,0
24.50125789642334,0.07000000000000006,-0.09375,3.5700000000000003,0
24.520261764526367,0.050000000000000044,-0.1875,3.41,0
24.540507793426514,0.06000000000000005,-0.09375,3.2600000000000002,0
24.56067991256714,0.09000000000000008,-0.1875,3.21,0
24.58100390434265,0.10000000000000009,-0.1875,3.3000000000000003,0
24.60102677345276,0.10000000000000009,-0.09375,3.44,0
24.620414972305298,0.07000000000000006,-0.09375,3.49,0
24.64038395881653,0.050000000000000044,-0.1875,3.38,0
24.66040301322937,0.07000000000000006,-0.1875,3.3000000000000003,0
24.68100881576538,0.09000000000000008,-0.09375,3.4,0
24.701250791549683,0.10000000000000009,-0.09375,3.5100000000000002,0
24.720757007598877,0.06000000000000005,-0.09375,3.49,0
24.740381956100464,0.040000000000000036,-0.09375,3.33,0
24.760385036468506,0.040000000000000036,-0.09375,3.15,0
24.781133890151978,0.07000000000000006,-0.09375,3.0100000000000002,0
24.801377058029175,0.09000000000000008,-0.09375,2.96,0
24.82077693939209,0.08000000000000007,-0.09375,2.9,0
24.840268850326538,0.050000000000000044,-0.1875,2.73,0
24.860293865203857,0.010000000000000009,-0.1875,2.44,0
24.882935762405396,0.0,-0.1875,2.18,0
24.901378870010376,0.020000000000000018,-0.1875,1.96,0
24.920268058776855,0.040000000000000036,-0.09375,1.96,0
24.94038200378418,0.050000000000000044,-0.09375,2.02,0
24.961261749267578,0.040000000000000036,-0.09375,2.02,0
24.981135845184326,0.020000000000000018,-0.1875,1.94,0
25.000292778015137,0.010000000000000009,-0.09375,1.75,0
