time,can1_NP_LatDegree [Unit_DegreOfArc],can1_NP_LongDegree [Unit_DegreOfArc],can1_NP_Fix []
74.60488200187683,47.435266999999996,9.375874999999999,3
74.70513606071472,47.435266999999996,9.375874999999999,3
74.80416321754456,47.435266999999996,9.375874999999999,3
74.90431118011475,47.435266999999996,9.375874999999999,3
75.00441598892212,47.435182,9.375805999999999,3
75.10463428497314,47.435182,9.375805999999999,3
75.2046320438385,47.435182,9.375805999999999,3
75.30481004714966,47.435182,9.375805999999999,3
75.40487718582153,47.435182,9.375805999999999,3
75.50500416755676,47.435182,9.375805999999999,3
75.6051390171051,47.435182,9.375805999999999,3
75.70428800582886,47.435182,9.375805999999999,3
75.80430793762207,47.435182,9.375805999999999,3
75.90527105331421,47.435182,9.375805999999999,3
76.00439620018005,47.435092999999995,9.375729999999999,3
76.10525918006897,47.435092999999995,9.375729999999999,3
76.2055721282959,47.435092999999995,9.375729999999999,3
76.30526328086853,47.435092999999995,9.375729999999999,3
76.40635013580322,47.435092999999995,9.375729999999999,3
76.50526404380798,47.435092999999995,9.375729999999999,3
76.6052610874176,47.435092999999995,9.375729999999999,3
76.70525598526001,47.435092999999995,9.375729999999999,3
76.8053891658783,47.435092999999995,9.375729999999999,3
76.90526509284973,47.435092999999995,9.375729999999999,3
77.00547409057617,47.435004,9.375648,3
77.10537910461426,47.435004,9.375648,3
77.20439004898071,47.435004,9.375648,3
77.30456209182739,47.435004,9.375648,3
77.40538096427917,47.435004,9.375648,3
77.5045440196991,47.435004,9.375648,3
77.60455203056335,47.435004,9.375648,3
77.70537614822388,47.435004,9.375648,3
77.80439400672913,47.435004,9.375648,3
77.90454006195068,47.435004,9.375648,3
78.0055000782013,47.434914,9.375565,3
78.10463213920593,47.434914,9.375565,3
78.20456099510193,47.434914,9.375565,3
78.30550813674927,47.434914,9.375565,3
78.40469717979431,47.434914,9.375565,3
78.50450301170349,47.434914,9.375565,3
78.60550308227539,47.434914,9.375565,3
78.70550203323364,47.434914,9.375565,3
78.8055031299591,47.434914,9.375565,3
78.90477108955383,47.434914,9.375565,3
